Year,State,Data Status,Rev_Thousand Dollars,Sales_Megawatthours,Customers_Count,Price_Cents/kWh
2019,MI,Final,5273119,33495725,4384303,15.74
2019,MN,Final,2906625,22288152,2446108,13.04
2019,MO,Final,3975602,35691426,2811863,11.14
2019,MS,Final,2108801,18717858,1293417,11.27
2019,MT,Final,590943,5308103,516052,11.13
2019,NC,Final,6834017,59852793,4620856,11.42
2019,ND,Final,527970,5125431,385037,10.3
2019,NE,Final,1109655,10307905,855617,10.77
2019,NH,Final,903574,4506830,627258,20.05
2019,NJ,Final,4534973,28612555,3596835,15.85
2019,NM,Final,859664,6871561,895087,12.51
2019,NV,Final,1544743,12867637,1204995,12.0
2019,NY,Final,8995439,50141003,7235400,17.94
2019,OH,Final,6464453,52226097,4980934,12.38
2019,OK,Final,2429743,23805972,1777155,10.21
2019,OR,Final,2123882,19286182,1763783,11.01
2019,PA,Final,7508619,54396182,5418870,13.8
2019,RI,Final,648292,2983012,444216,21.73
2019,SC,Final,4048095,31159957,2330901,12.99
2019,SD,Final,584266,5057032,403715,11.55
2019,TN,Final,4628861,42573183,2914916,10.87
2019,TX,Final,18286991,155481342,11366635,11.76
2019,UT,Final,1013001,9739525,1116145,10.4
2019,VA,Final,5632066,46666163,3464676,12.07
2019,VT,Final,368721,2081545,316182,17.71
2019,WA,Final,3544716,36512424,3126191,9.71
2019,WI,Final,3117985,21995360,2720288,14.18
2019,WV,Final,1254560,11153219,857666,11.25
2019,WY,Final,318423,2849378,274880,11.18
2019,US,Final,187436037,1440288909,135249595,13.01
2018,AK,Final,433247,1974906,287523,21.94
2018,AL,Final,4027603,33080380,2229470,12.18
2018,AR,Final,1888657,19259204,1388359,9.81
2018,AZ,Final,4425192,34660297,2808351,12.77
2018,CA,Final,16782222,89099985,13591149,18.84
2018,CO,Final,2342778,19286952,2326974,12.15
2018,CT,Final,2769009,13061372,1503701,21.2
2018,DC,Final,332869,2592242,274613,12.84
2018,DE,Final,635362,5070175,432449,12.53
2018,FL,Final,14485280,125528047,9423019,11.54
2018,GA,Final,6847325,59689106,4354020,11.47
2018,HI,Final,880207,2710698,436266,32.47
2018,IA,Final,1817122,14840349,1385752,12.24
2018,ID,Final,855157,8427578,743564,10.15
2018,IL,Final,6028532,47225915,5289571,12.77
2018,IN,Final,4239862,34574664,2863350,12.26
2018,KS,Final,1894142,14187192,1266041,13.35
2018,KY,Final,2936379,27712722,1980206,10.6
2018,LA,Final,3074086,32065538,2085054,9.59
2018,MA,Final,4383449,20284674,2784243,21.61
2018,MD,Final,3741620,28138474,2332516,13.3
2018,ME,Final,820564,4872001,709849,16.84
2018,MI,Final,5426835,35131422,4365526,15.45
2018,MN,Final,3001391,22837140,2420321,13.14
2018,MO,Final,4248638,37463390,2792451,11.34
2018,MS,Final,2146535,19310527,1290280,11.12
2018,MT,Final,569768,5197686,509527,10.96
2018,NC,Final,6834735,61622454,4550417,11.09
2018,ND,Final,526145,5133171,382592,10.25
2018,NE,Final,1114442,10412008,849891,10.7
2018,NH,Final,913613,4641013,622670,19.69
2018,NJ,Final,4550431,29530689,3568043,15.41
2018,NM,Final,865755,6826442,889838,12.68
2018,NV,Final,1593360,13449743,1183659,11.85
2018,NY,Final,9658622,52153246,7190903,18.52
2018,OH,Final,6839823,54451714,4964849,12.56
2018,OK,Final,2484031,24116808,1764979,10.3
2018,OR,Final,2079228,18930583,1750239,10.98
2018,PA,Final,7764870,55896453,5390427,13.89
2018,RI,Final,642041,3124168,442006,20.55
2018,SC,Final,3962861,31852419,2290200,12.44
2018,SD,Final,581764,5018360,400147,11.59
2018,TN,Final,4751657,44381957,2882983,10.71
2018,TX,Final,17609632,157267913,11148781,11.2
2018,UT,Final,1011446,9714507,1091159,10.41
2018,VA,Final,5624478,47962606,3431575,11.73
2018,VT,Final,381309,2116045,315137,18.02
2018,WA,Final,3446381,35338978,3076868,9.75
2018,WI,Final,3146512,22444733,2700651,14.02
2018,WV,Final,1306097,11679455,859039,11.18
2018,WY,Final,310226,2748356,272429,11.29
2018,US,Final,189033288,1469096457,133893626,12.87
2017,AK,Final,438240,2060349,285696,21.27
2017,AL,Final,3786699,30181045,2213590,12.55
2017,AR,Final,1749676,17026779,1380155,10.28
2017,AZ,Final,4259275,34251220,2764355,12.44
2017,CA,Final,16500848,90123505,13548293,18.31
2017,CO,Final,2264556,18615000,2288355,12.17
2017,CT,Final,2512033,12379520,1495577,20.29
2017,DC,Final,309764,2394652,267448,12.94
2017,DE,Final,622385,4662598,426072,13.35
2017,FL,Final,14097730,121462622,9291705,11.61
2017,GA,Final,6516806,54771449,4296976,11.9
2017,HI,Final,775853,2629679,432952,29.5
2017,IA,Final,1692832,13721869,1375594,12.34
2017,ID,Final,876364,8727901,727567,10.04
2017,IL,Final,5661904,43717391,5264333,12.95
2017,IN,Final,3878281,31551558,2834090,12.29
2017,KS,Final,1732461,13013422,1259222,13.31
2017,KY,Final,2699918,24882582,1971000,10.85
2017,LA,Final,2874957,29531960,2073613,9.74
2017,MA,Final,3879096,19337799,2766155,20.06
2017,MD,Final,3640765,26084176,2313188,13.96
2017,ME,Final,740677,4638535,707792,15.97
2017,MI,Final,5078011,32977374,4344318,15.4
2017,MN,Final,2813969,21573800,2403167,13.04
2017,MO,Final,3843968,33051080,2771120,11.63
2017,MS,Final,1932657,17444016,1284576,11.08
2017,MT,Final,572287,5224588,503309,10.95
